SearchName,Nationality
Bill_Gates,U.S.
Warren_Buffett,U.S.
Bernard_Arnault,France
Mark_Zuckerberg,U.S.
Amancio_Ortega,Spain
Larry_Ellison,U.S.
Michael_Bloomberg,
Larry_Page,U.S.
Jim_Walton,U.S.
S._Robson_Walton,U.S.
Francoise_Bettencourt_Meyers,France
Mukesh_Ambani,India
Sheldon_Adelson,U.S.
Steve_Ballmer,U.S.
Hui_Ka_Yan,China
Phil_Knight,U.S.
Jorge_Paulo_Lemann,Brazil
Georg_Schaeffler,Germany
Susanne_Klatten,Germany
David_Thomson,
Jacqueline_Mars,
John_Mars,
Giovanni_Ferrero,Italy
Michael_Dell,U.S.
Serge_Dassault,
Yang_Huiyan,China
Thomas_Peterffy,Hungary
"Theo_Albrecht,_Jr.",Germany
Len_Blavatnik,
James_Simons,
Henry_Sy,China
Elon_Musk,South Africa
Hinduja_Family,
Tadashi_Yanai,Japan
Laurene_Powell_Jobs,U.S.
Azim_Premji,India
Lee_Kun-Hee,South Korea
Wang_Wei,
Leonid_Mikhelson,
Charoen_Sirivadhanabhakdi,Thailand
Pallonji_Mistry,Ireland
Ray_Dalio,U.S.
William_Ding,China
R._Budi_Hartono,
Gina_Rinehart,Australia
German_Larrea_Mota_Velasco,Mexico
Michael_Hartono,Indonesia
Thomas_&_Raymond_Kwok,
Vagit_Alekperov,
Donald_Bren,U.S.
Abigail_Johnson,
Vladimir_Potanin,
Lukas_Walton,U.S.
Charlene_De_Carvalho-Heineken,
Zhang_Zhidong,
David_&_Simon_Reuben,
Klaus-Michael_Kuehne,Germany
Li_Shufu,China
Mikhail_Fridman,Russia
Robert_Kuok,Malaysia
Emmanuel_Besnier,France
Shiv_Nadar,India
Viktor_Vekselberg,
Aliko_Dangote,Nigeria
Steve_Cohen,U.S.
Marcel_Herrmann_Telles,Brazil
Reinhold_Wuerth,Germany
Eric_Schmidt,U.S.
Jim_Kennedy,
Blair_Parry-Okeden,U.S.
Alain_Wertheimer,France
Gerard_Wertheimer,France
Heinz_Hermann_Thiele,Germany
Dilip_Shanghvi,India
Stephen_Schwarzman,U.S.
Lei_Jun,
Hans_Rausing,Sweden
Alisher_Usmanov,
Peter_Woo,China
Carlos_Alberto_Sicupira,Brazil
Seo_Jung-Jin,
Kumar_Birla,India
Alexander_Otto,
Stefano_Pessina,Italy
Udo_&_Harald_Tschira,
Lee_Man_Tat,
Xu_Shihui,China
Zhou_Hongyi,China
Gong_Hongjia,China
Michael_Otto,
David_Tepper,U.S.
Liu_Qiangdong,China
Robert_&_Philip_Ng,
Alberto_Bailleres_Gonzalez,Mexico
Uday_Kotak,
Pierre_Omidyar,France
Walter_P.J._Droege,
Eduardo_Saverin,Brazil
Radhakishan_Damani,
German_Khan,
Gautam_Adani,India
Pan_Zhengmin,
"Thomas_Frist,_Jr.",
Mikhail_Prokhorov,
Galen_Weston,England
Eyal_Ofer,Israel
Charles_Schwab,
Gianluigi_&_Rafaela_Aponte,
"Herbert_Kohler,_Jr.",
Harry_Triguboff,China
Yao_Zhenhua,China
Cyrus_Poonawalla,
James_Goodnight,U.S.
Giorgio_Armani,Italy
Savitri_Jindal,
James_Chambers,
James_Irving,
Melker_Schorling,Sweden
Johann_Graf,Austria
John_Malone,U.S.
Xavier_Niel,France
Carl_Cook,U.S.
Walter_Kwok,
George_Soros,Hungary
"Edward_Johnson,_Iii.",
Massimiliana_Landini_Aleotti,
George_Kaiser,U.S.
Patrick_Soon-Shiong,South Africa
Nicky_Oppenheimer,South Africa
Sun_Piaoyang,China
Wu_Yajun,China
Alexei_Kuzmichev,Russia
Stephen_Ross,
Pauline_Macmillan_Keinath,
Jay_Y._Lee,South Korea
Eli_Broad,U.S.
Iskander_Makhmudov,
Frederik_Paulsen,
Christy_Walton,
Ananda_Krishnan,Malaysia
Carrie_Perrodo,
Quek_Leng_Chan,
Wang_Wenxue,China
Eva_Gonda_De_Rivera,
Willi_&_Isolde_Liebherr,
Ricardo_Salinas_Pliego,Mexico
Suh_Kyung-Bae,
Pollyanna_Chu,
John_Fredriksen,Norway
Goh_Cheng_Liang,Singapore
Sri_Prakash_Lohia,India
Jorn_Rausing,Sweden
Johann_Rupert,
Jacques_Saade,
Wu_Shaoxun,
Sandra_Ortega_Mera,Spain
Michael_Platt,England
Chan_Laiwa,China
David_Green,
Hank_&_Doug_Meijer,
Dmitry_Rybolovlev,
Tsai_Eng-Meng,Taiwan
Andreas_Von_Bechtolsheim,
Oleg_Deripaska,
Ann_Walton_Kroenke,
Augusto_&_Giorgio_Perfetti,
Finn_Rausing,Sweden
Kirsten_Rausing,Sweden
Odd_Reitan,Norway
Aloys_Wobben,Germany
Wei_Jianjun,
Erivan_Haub,Germany
Suleiman_Kerimov,Russia
Pang_Kang,China
Kushal_Pal_Singh,India
Guenther_Fielmann,Germany
Daniel_Gilbert,
Akira_Mori,Japan
Maria-Elisabeth_Schaeffler-Thumann,
Richard_Kinder,U.S.
Robert_Kraft,U.S.
Bruno_Schroder,U.K.
Nusli_Wadia,
Benu_Gopal_Bangur,India
David_Cheriton,Canada
Whitney_Macmillan,
Dan_Olsson,Sweden
Abdulla_Bin_Ahmad_Al_Ghurair,
Maria_Asuncion_Aramburuzabala,Mexico
Wolfgang_Marguerre,
Pamela_Mars,
Valerie_Mars,U.S.
Kwon_Hyuk-Bin,
Lin_Yu-Ling,
Tom_&_Judy_Love,
Dennis_Washington,U.S.
Yao_Liangsong,
Zhang_Jindong,China
Juan_Francisco_Beckmann_Vidal,Mexico
John_Tu,China
Martin_Viessmann,Germany
Hansjoerg_Wyss,Switzerland
Jen-Hsun_Huang,Taiwan
Jerry_Jones,U.S.
Kwee_Family,
Lee_Shin_Cheng,Malaysia
Richard_Lefrak,U.S.
Shigenobu_Nagamori,Japan
Steven_Rales,U.S.
Friede_Springer,Germany
Shari_Arison,U.S.
Andrew_Currie,
Scott_Duncan,
Milane_Frantz,U.S.
Magdalena_Martullo-Blocher,Switzerland
Hiroshi_Mikitani,Japan
Gabe_Newell,U.S.
Randa_Williams,U.S.
Zhang_Bangxin,
Zhang_Shiping,China
Jean-Michel_Besnier,France
Michael_Herz,
Wolfgang_Herz,
Kjeld_Kirk_Kristiansen,Denmark
Sofie_Kirk_Kristiansen,
Thomas_Kirk_Kristiansen,
Lam_Wai_Ying,China
Margarita_Louis-Dreyfus,Russia
George_Roberts,
"Edward_Roski,_Jr.",U.S.
Mike_Adenuga,Nigeria
David_Filo,U.S.
Pansy_Ho,
Henry_Kravis,U.S.
Frits_Goldschmeding,
Bruce_Kovner,U.S.
George_Lucas,U.S.
Elisabeth_Mohn,Germany
"Robert_Rich,_Jr.",U.S.
Wang_Chuanfu,China
Pyotr_Aven,Russia
Bernard_Marcus,U.S.
Pedro_Moreira_Salles,
Ronda_Stryker,U.S.
Law_Kar_Po,
Joe_Lewis,
Gabriella_Meister,
Fernando_Roberto_Moreira_Salles,
Joao_Moreira_Salles,
Walther_Moreira_Salles_Junior,
Vichai_Srivaddhanaprabha,Thailand
M.A._Yusuff_Ali,
Robert_Bass,U.S.
Martin_&_Olivier_Bouygues,
Chung_Mong-Koo,
Charles_Dolan,U.S.
Ray_Lee_Hunt,U.S.
John_Overdeck,U.S.
Ajay_Piramal,
"Enrique_Razon,_Jr.",
Sumner_Redstone,U.S.
Paolo_&_Gianfelice_Mario_Rocca,
David_Siegel,
Andrei_Skoch,Russia
Yu_Yong,
Sam_Zell,U.S.
Bajaj_Brothers,
Garrett_Camp,Canada
Bubba_Cathy,U.S.
Dan_Cathy,U.S.
Fu_Liquan,
Philip_&_Cristina_Green,
"Rupert_Johnson,_Jr.",U.S.
Travis_Kalanick,U.S.
Andrei_Kozitsyn,Russia
Murat_Ulker,Turkey
Dirk_Ziff,
Juergen_Blickle,
Stanley_Druckenmiller,U.S.
Lim_Kok_Thay,
Niels_Peter_Louis-Hansen,Denmark
Fredrik_Lundberg,Sweden
Gwendolyn_Sontheim_Meyer,U.S.
Jude_Reyes,U.S.
Sheldon_Solow,U.S.
Lucio_Tan,
Andrej_Babis,Slovakia
Dona_Bertarelli,Italy
Bidzina_Ivanishvili,
Chris_Larsen,U.S.
Patrick_Lee,
Liang_Wengen,China
Denis_O'Brien,Ireland
Kapil_&_Rahul_Bhatia,
Jean-Pierre_Cayard,
Chey_Tae-Won,
Andrei_Guriev,Russia
Ji_Changqun,
"Paul_Tudor_Jones,_Ii.",
Robert_Miller,
Juan_Roig,Spain
John_Sall,
Leonard_Stern,
Ye_Chenghai,
Anthony_Bamford,England
Chu_Mang_Yee,
Juan_Carlos_Escotet,Spain
Miguel_Fluxa_Rossello,Spain
Paul_Gauselmann,
Micky_Jagtiani,Kuwait
Johan_Johannson,
Richard_Li,
John_Morris,
Theo_Mueller,
Wolfgang_Reimann,
Matthias_Reimann-Andersen,
Stefan_Reimann-Andersen,
Renate_Reimann-Haas,
Robert_Smith,
Russ_Weiner,U.S.
Jeronimo_Arango,Mexico
Rainer_Blickle,
Rocco_Commisso,Italy
Tilman_Fertitta,
Nathan_Kirsh,South Africa
Terrence_Pegula,U.S.
Gary_Rollins,U.S.
Alejandro_Santo_Domingo,U.S.
Pham_Nhat_Vuong,Vietnam
Roger_Wang,China
Stephen_Bisciotti,
"Austen_Cargill,_Ii.",
"James_Cargill,_Ii.",
Bobby_Murphy,
Igor_Olenicoff,Russia
Wang_Yusuo,China
Carl_Bennet,Sweden
Arthur_Blank,
Jack_&_Laura_Dangermond,
Fan_Hongwei,
John_Gandel,Australia
James_Jannard,U.S.
Montri_Jiaravanont,Thailand
Pawan_Munjal,
James_Packer,Wales
Michael_Pieper,Switzerland
Hussain_Sajwani,
Evan_Spiegel,U.S.
Wang_Xing,China
Kelcy_Warren,
Ben_Ashkenazy,Israel
Ursula_Bechtolsheimer-Kipp,
Otto_Philipp_Braun,
Dagmar_Dolby,Germany
Traudl_Engelhorn,
Dan_Friedkin,U.S.
Sergei_Galitsky,Russia
Huang_Rulun,China
Ronald_Lauder,
Michael_Moritz,Wales
Naguib_Sawiris,
B.R._Shetty,
Jeff_Sutton,
Yu_Huijiao,
Zhang_Xuexin,
Suhail_Bahwan,
Peter_Hargreaves,U.K.
Daniela_Herz,
Masatoshi_Ito,
Barry_Lam,
Ravi_Pillai,India
Jerry_Speyer,U.S.
Harry_Stine,
George_Ty,
Christoph_Zeller,Germany
Chen_Dongsheng,
Brian_Chesky,U.S.
Gustaf_Douglas,
Jeff_Greene,U.S.
Li_Wa,
Masahiro_Miki,Japan
Katharina_Otto-Bernstein,
Henry_Samueli,
Zeng_Fangqin,
Zhang_Jin,China
Ken_Fisher,
Jaime_Gilinski_Bacal,Colombia
Andreas_Halvorsen,Norway
H._Fisk_Johnson,
Imogene_Powers_Johnson,U.S.
Winifred_Johnson-Marquart,
Viatcheslav_Kantor,
Samvel_Karapetyan,
Mangal_Prabhat_Lodha,
Michael_Milken,U.S.
Yuri_Milner,
Andreas_Struengmann,
Samuel_Yin,Taiwan
Michael_Ashley,
Jeffery_Hildebrand,U.S.
Elizabeth_Johnson,
Lim_Sung-Ki,
Friedhelm_Loh,Germany
Kiran_Mazumdar-Shaw,India
Idan_Ofer,Israel
Qiu_Guanghe,China
Sarath_Ratanavadi,
Gabriele_Volkmann,
Arne_Wilhelmsen,Norway
Anita_Zucker,
Carlo_Benetton,Italy
Gilberto_Benetton,Italy
Giuliana_Benetton,Italy
Luciano_Benetton,Italy
Chen_Bang,
Kuldip_Singh_&_Gurbachan_Singh_Dhingra,
Abilio_Dos_Santos_Diniz,
Judy_Faulkner,U.S.
Joshua_Harris,
Dmitry_Kamenshchik,
Edwin_Leong,
Arnon_Milchan,Israel
Maren_Otto,
Jay_Robert_(J.B.)_Pritzker,
Mitchell_Rales,U.S.
Kjell_Inge_Rokke,Norway
Tahir,
Chairul_Tanjung,Indonesia
Clemens_Toennies,
Somphote_Ahunai,
Riley_Bechtel,
"Stephen_Bechtel,_Jr.",U.S.
Mike_Cannon-Brookes,Australia
Rafael_Del_Pino_Y_Calvo-Sotelo,
Antonio_Del_Valle_Ruiz,
Scott_Farquhar,Australia
Jimmy_Haslam,
Heidi_Horten,Austria
Melissa_Ma,
Rudolf_Maag,
Alexander_Ponomarenko,
Carlos_Rodriguez-Pastor,Peru
Shashi_&_Ravi_Ruia,
Alexander_Skorobogatko,
Sun_Guangxin,China
Rita_Tong_Liu,
Juan-Miguel_Villar_Mir,Spain
Steve_Wynn,U.S.
Anil_Agarwal,
Abdulla_Al_Futtaim,U.A.E.
Sid_Bass,U.S.
Alain_Bouchard,Canada
Vanich_Chaiyawan,Thailand
Chen_Lip_Keong,Malaysia
Charles_S._Cohen,U.S.
Ashwin_Dani,India
Rakesh_Gangwal,India
Reid_Hoffman,U.S.
Zarakh_Iliev,Russia
Ji_Qi,
Kenneth_Langone,U.S.
Li_Sze_Lim,
Liu_Zhongtian,China
Mary_Alice_Dorrance_Malone,U.S.
God_Nisanov,
Alexander_Svetakov,Russia
Hans_Peter_Wild,Germany
Yvonne_Bauer,Germany
Patrizio_Bertelli,Italy
Neil_Bluhm,U.S.
Andrew_&_Peggy_Cherng,
Leon_G._Cooperman,
Walter_Faria,Brazil
Tom_Golisano,
Otto_Happel,Germany
Karel_Komarek,
Kurt_Krieger,
Timur_Kulibaev,
Dinara_Kulibaeva,
Luo_Jye,Taiwan
Ronald_Mcaulay,
Hans_Georg_Naeder,
Nie_Tengyun,
Daniel_Och,U.S.
Alvaro_Saieh_Bendeck,
Michael_&_Reiner_Schmidt-Ruthenbeck,
Lynn_Schusterman,U.S.
Michal_Solowow,
Daniel_Tsai,
Richard_Tsai,
Meg_Whitman,U.S.
Cheng_Cheung_Ling,
Jack_Dorsey,U.S.
Allan_Goldman,
Jane_Goldman,
Amy_Goldman_Fowler,U.S.
Diane_Kemper,
Manuel_Lao_Hernandez,Spain
Tom_Morris,
Thi_Phuong_Thao_Nguyen,Vietnam
Rajan_Raheja,
Ren_Jianhua,
Kerry_Stokes,Australia
Romesh_T._Wadhwani,India
Wang_Jian,
Clifford_Asness,
Anne_Beaufour,France
Henri_Beaufour,France
Jim_Breyer,U.S.
Alejandro_Bulgheroni,Argentina
Ennio_Doris,
Martin_Haefner,Switzerland
Christopher_Hohn,England
Rakesh_Jhunjhunwala,
John_Middleton,
Kazuo_Okada,Japan
Prasert_Prasarttong-Osoth,Thailand
Jean_(Gigi)_Pritzker,
Michael_Rubin,
Robert_Sands,
Herbert_Simon,
Don_Vultaggio,U.S.
Wang_Zhenhua,
Wu_Kaiting,
Chuck_Bundrant,U.S.
Cai_Dongchen,
Jose_And_Francisco_Jose_Calderon_Rojas,
Jason_Chang,China
Ding_Shizhong,
Gerald_Ford,U.S.
Philippe_Foriel-Destezet,France
Adi_Godrej,
Jamshyd_Godrej,India
Nadir_Godrej,India
Hedda_Im_Brahm-Droege,
Alicia_Koplowitz,Spain
Louis_Le_Duff,France
Yusaku_Maezawa,Japan
Hans_Melchers,
Erwin_Franz_Mueller,
Rishad_Naoroji,India
Husnu_Ozyegin,Turkey
Prajogo_Pangestu,Indonesia
Paul_Singer,
Ralph_Sonnenberg,Netherlands
Georg_Stumpf,
Vincent_Viola,U.S.
Radovan_Vitek,Czech Republic
Wang_Laichun,
Wang_Laisheng,
Carlos_Ardila_Lülle,
Jim_Davis,
Ding_Shijia,
"John_Dorrance,_Iii.",
Doris_Fisher,
Osman_Kibar,
Taha_Mikati,Lebanon
Philip_Niarchos,Greece
Stefan_Olsson,Sweden
Penny_Pritzker,U.S.
Chandru_Raheja,India
David_Rubenstein,U.S.
Shi_Yuzhu,China
Zygmunt_Solorz-Zak,
Tung_Chee_Chen,
Mark_Walter,
"William_Wrigley,_Jr.",
Anil_Ambani,India
Roberto_Angelini_Rossi,
Saeed_Bin_Butti_Al_Qebaisi,
Pierre_Chen,Taiwan
Eduardo_Eurnekian,Argentina
Gu_Yuhua,
Don_Hankey,
Huang_Wei,
James_Irsay,
Kim_Beom-Su,
Mustafa_Kucuk,
Mohamed_Mansour,
Najib_Mikati,Lebanon
Ermirio_Pereira_De_Moraes,
Krit_Ratanarak,Thailand
Helena_Revoredo,Argentina
Howard_Schultz,U.S.
Lawrence_Stroll,Canada
Andrew_Tan,China
Tsai_Cheng-Da,
Frank_Vandersloot,U.S.
Sandro_Veronesi,Italy
Juan_Abello,Spain
Bang_Jun-Hyuk,
Francesco_Gaetano_Caltagirone,Italy
Chung_Eui-Sun,
Fong_Yun_Wah,
Phillip_Frost,
Lutz_Mario_Helmig,
B._Wayne_Hughes,
Daniel_Kretinsky,
Lam_Kong,
Lau_Cho_Kun,
"Stephen_Mandel,_Jr.",
Gilles_Martin,
Daniel_Mate,Spain
Jorge_Moll_Filho,
Maria_Helena_Moraes_Scripilliti,Brazil
Sean_Parker,U.S.
Patrick_Ryan,
Shen_Yuxing,
Gil_Shwed,Israel
Glen_Taylor,
Hanni_Toosbuy_Kasprzak,Denmark
Torbjorn_Tornqvist,Sweden
Jerry_Yang,Taiwan
Ramon_Ang,
Lee_Bass,
Bert_Beveridge,
George_Bishop,
Aloysio_De_Andrade_Faria,
Kenneth_Feld,
Luca_Garavoglia,Italy
Stein_Erik_Hagen,Norway
Chang-Woo_Han,
Lawrence_Ho,
Mustafa_Rahmi_Koc,Turkey
Jane_Lauder,U.S.
Aerin_Lauder_Zinterhofer,U.S.
Maritsa_Lazari,Cyprus
Bernard_Lewis,England
Vincent_Lo,
Roberto_Irineu_Marinho,Brazil
C._Dean_Metropoulos,Greece
Aristotelis_Mistakidis,Greece
Arturo_Moreno,
Yoshiko_Mori,
Adam_Neumann,Israel
Or_Wai_Sheun,
Horst_Julius_Pudwill,
Klaus-Peter_Schulenberg,
Mark_Stevens,
Sze_Man_Bok,China
Sarik_Tara,Turkey
Peter_Thiel,Germany
Denise_York,U.S.
George_Argyros,
John_Arrillaga,U.S.
Charles_Bronfman,Canada
Peter_Buck,
Chen_Jinxia,
Chu_Lam_Yiu,
Jose_Luis_Cutrale,
Bergit_Douglas,
Alfredo_Egydio_Arruda_Villela_Filho,
Marcel_Erni,
Abhay_Firodia,
Geng_Jianming,
Michael_Hintze,China
Igor_Kesaev,Russia
